"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENSG00000000003.15"	254.348769060851	-0.163892052363155	0.441832338620423	-0.370937204087169	0.71068430394649	0.874276674262772
"ENSG00000000005.6"	4.62617156288453	-1.80696903234905	1.23775048973081	-1.45988149254705	0.144322646517626	NA
"ENSG00000000419.14"	1420.06005114706	0.209419745674399	0.218653202487211	0.95777122535696	0.338178131939014	0.62113250794824
"ENSG00000000457.14"	521.796588731197	0.12416010806657	0.340762421488767	0.364359742263021	0.715589393342702	0.876636489358672
"ENSG00000000460.17"	767.804984076686	0.290418208099784	0.301478738744041	0.963312402425673	0.335390771118345	0.618086682314331
"ENSG00000000938.13"	527.050694434142	-0.791449051836134	0.565160703219668	-1.40039646657548	0.161394627542477	0.425708358871371
"ENSG00000000971.16"	765.280342759589	0.00912380961506655	0.405975607474964	0.0224737877031915	0.982070021100694	0.99423495991591
"ENSG00000001036.14"	1379.77432142525	0.247711078865402	0.235237521561287	1.05302537291384	0.292329363415636	0.57826312238496
"ENSG00000001084.13"	2643.35998551953	0.752772867305036	0.261099947060448	2.88308318626644	0.00393803429834646	0.045690295629825
"ENSG00000001167.15"	2893.29473963125	-0.270409567558006	0.22773767633229	-1.18737299823616	0.235080525829199	0.515281464337036
"ENSG00000001460.18"	226.257871386579	0.132965335797457	0.170051549506097	0.781911933079384	0.434266331541845	0.702075552327135
"ENSG00000001461.17"	1546.06247117565	0.156581278058916	0.175273334968809	0.89335481684525	0.371667191027026	0.651578040988647
"ENSG00000001497.18"	2855.85890593866	0.172821654239139	0.12068315409582	1.43202798712008	0.152135811875866	0.414118038443365
"ENSG00000001561.7"	911.565955346877	0.315287159040208	0.491875445749377	0.640989831399013	0.521529289606883	0.761351940344713
"ENSG00000001617.12"	102.131718447682	0.00306284791658595	0.612358954787219	0.00500171981260602	0.996009221623751	0.998070632508857
"ENSG00000001629.10"	1729.17326369977	-0.233765893428697	0.26280876552326	-0.889490474045878	0.373739540514585	0.653509751145996
"ENSG00000001630.18"	1509.50408847026	0.119088341225037	0.207217042515753	0.574703411356641	0.565491899936657	0.790351474449011
"ENSG00000001631.17"	2046.10333670862	-0.290664056872959	0.268245152710114	-1.08357617625647	0.27855275862104	0.562788633869118
"ENSG00000002016.18"	621.540449853732	-0.13364563661424	0.237687518917008	-0.562274524229035	0.573928992852883	0.796176524655146
"ENSG00000002330.14"	618.378567325746	0.0396552560825328	0.272414081933926	0.145569773049218	0.884261031365828	0.955861114877231
"ENSG00000002549.13"	3465.99508452847	0.637279171487219	0.238369032943702	2.67349816214479	0.00750646875081173	0.0695225571949633
"ENSG00000002586.20"	2239.44651475725	-0.427782862310033	0.227055596051293	-1.88404456771633	0.059558947269474	0.240579644374929
"ENSG00000002586.20_PAR_Y"	2239.44651475725	-0.427782862310033	0.227055596051293	-1.88404456771633	0.059558947269474	0.240579644374929
"ENSG00000002587.10"	102.185504737112	0.423158116141886	0.529525841358328	0.799126469553232	0.424217082767185	0.693859408096172
"ENSG00000002726.21"	24.2245021814453	0.20205917981779	0.374528594274745	0.539502678584706	0.589540049227376	0.805383595342095
"ENSG00000002745.13"	12.2380721500954	-1.68764451957409	0.662036736119067	-2.549170502935	0.0107979494074305	0.0873317280870139
"ENSG00000002822.16"	1023.17509317095	0.10206115175553	0.386516254590262	0.264053970676403	0.791738331469471	0.915480934350823
"ENSG00000002834.18"	6971.65049042063	0.397726654737506	0.173692549443099	2.28983140619857	0.0220310918038827	0.13422344578148
"ENSG00000002919.15"	820.716451956494	0.418794813562244	0.228972246192079	1.82901998179695	0.067396614899589	0.259557567660586
"ENSG00000002933.9"	129.275318042987	0.589197718126213	0.790020854355606	0.745800208789174	0.455788113820068	0.717939683950464
"ENSG00000003056.8"	5944.60959638875	0.130019064996815	0.163577163621988	0.794848511356255	0.426701628100101	0.696303376258349
"ENSG00000003096.14"	438.275048708406	-0.219294852121913	0.295883150895764	-0.741153565040842	0.458600334612367	0.720048673305049
"ENSG00000003137.9"	20.6503199373953	-0.914861913893764	0.663568830807371	-1.37869934725632	0.167987470854053	0.43438239516878
"ENSG00000003147.19"	781.626225872738	-0.228640880461958	0.171188482844961	-1.33560901213798	0.181677102930344	0.453129375914598
"ENSG00000003249.15"	18.6036410822752	-0.208204517191012	0.574509651092092	-0.362403863529941	0.717050252773783	0.877508759674948
"ENSG00000003393.16"	2103.12788201875	0.0574509980860584	0.258766783764674	0.222018441664851	0.824299527200346	0.929399649596068
"ENSG00000003400.15"	1755.56332282201	0.155765035148934	0.18129568136551	0.85917675465692	0.390243006011297	0.666565601505574
"ENSG00000003402.21"	5281.70897011396	-0.213141830056033	0.215890679598982	-0.987267400574888	0.323511567489319	0.608037234980656
"ENSG00000003436.16"	1345.54737917412	-0.534787534542443	0.291610364837993	-1.8339112700591	0.0666671663619158	0.257878331207022
"ENSG00000003509.16"	547.455678059283	-0.17515639792125	0.222917876505161	-0.7857440626445	0.432017443439846	0.70010117381981
"ENSG00000003756.17"	6054.18212566126	-0.423652770882029	0.123607524904841	-3.4274027508291	0.000609384529144401	0.0130230474906209
